Company Name,Wesite,City,Segment,What They Make,Revenue Band,Decision Maker,C1,C2,C3,C4,C5,C6,Final Score,Verdict,Personalization Hook,Sources
Bharat Biotech,bharatbiotech.com,Hyderabad,speciality biotech,Vaccines and Biotechnology,>500Cr,Dr.Krishna Ella -Scientist & Founder,Strong - In-house vaccine manufacturing facilities,Strong - Hyderabad HQ and manufacturing,Strong - Indigenous Vaccine development and R&D,Strong - Founder is scientist and Biotech researcher,Strong - Biotech and vaccine demand growth,Strong - Active hiring and global expansion,100,Reject for final ICP – exceeds ?500Cr threshold despite strong technical fit,Expanded global vaccine partnerships and biologics manufacturing capabilities,"Company website, LinkedIn, news articles"
Utopia Therapeutics,utopiathx.com / LinkedIn,Hyderabad,Specialty Biotech,"Immunotherapy-based obesity vaccine, stem cell therapies, metabolic disease biotech products",<30Cr (estimated startup stage),"Dr. Gopi Kadiyala – Founder, PhD researcher & biotech scientist",Moderate – Early-stage biotech with product development and biotech R&D capability,Strong – Hyderabad-based biotech startup incubated at CDFD,Strong – US patent for obesity immunotherapy vaccine candidate UT-009,Strong – Scientist-led founding team with biotech research background,"Strong – Biotech, obesity therapeutics, and metabolic disease sector have strong global growth tailwinds","Strong – Seed funding, active hiring, patent approval, product launch signals",85,Strong Fit – Scientist-led differentiated biotech startup with active growth and proprietary IP,Secured US patent for immunotherapy-based obesity vaccine candidate UT-009,"LinkedIn, Business Standard, Hyderabad Mail, YNOS"
PopVax,popvax.com,Hyderabad,Specialty Biotech,Vaccine development and biotech research products,<30Cr (Estimated),Scientist-led founding team,Moderate - Biotech product development capability,Strong - India-based biotech startup,Strong - Innovative vaccine platform,Strong - Technical/scientific founders,Strong - Growing biotech and vaccine sector,Moderate - Startup growth and research activity,80,Strong Fit,Focused on innovative vaccine platform development,"Website, LinkedIn, startup articles"
Virchow Biotech,virchowbiotech.com,Hyderabad,Biopharmaceutical Manufacturing,"Vaccines, biologics, and pharmaceutical products",>500Cr,Technical pharma leadership,Strong - Large-scale manufacturing facilities,Strong - Hyderabad manufacturing operations,Strong - Biotech and vaccine manufacturing,Moderate - Technical management team,Strong - Growing pharma sector,Strong - Expansion and hiring activity,85,Reject - Revenue exceeds ICP threshold,Expanded vaccine manufacturing capacity,"Website, LinkedIn, news articles"
Zenovra Life Sciences,zenovra.com,Hyderabad,Specialty Life Sciences,Life science and healthcare products,30-100Cr (Estimated),Technical management team,Moderate - Manufacturing capability present,Strong - India-based operations,Moderate - Specialized healthcare focus,Moderate - Technical leadership,Strong - Growing healthcare sector,Moderate - Active operations and market presence,70,Fit,Focused on specialized life science solutions,"Website, LinkedIn"
Sapien Biosciences,sapienbio.com,Hyderabad,Specialty Biotech,Bioscience and biotech research products,<30Cr (Estimated),Scientist-led team,Moderate - Research and biotech capability,Strong - Hyderabad biotech company,Strong - Bioscience innovation focus,Strong - Technical/scientific leadership,Strong - Growing biotech sector,Moderate - Startup growth activity,75,Fit,Research-driven bioscience innovation company,"Website, LinkedIn"
9M Fertility,ankurahospitals.com,Hyderabad,Fertility Healthcare,IVF and fertility treatment services,Unknown,Medical management team,"Weak - Service business, not manufacturing",Strong - Hyderabad operations,Weak - No manufacturing/IP focus,Moderate - Medical leadership,Moderate - Healthcare demand growth,Moderate - Active operations,35,Reject,Focused on fertility healthcare services,Website
Whale Tank Biocatalyst,Unknown,Hyderabad,Biotech Commercialization,Scientific idea commercialization platform,Unknown,Unknown,Moderate - Manufacturing unclear,Strong - Hyderabad presence,Moderate - Scientific innovation focus,Moderate - Technical domain,Strong - Growing biotech ecosystem,Moderate - Startup activity visible,55,Borderline,Transforming scientific ideas into market solutions,F6S
Aganitha,aganitha.ai,Hyderabad,AI/Data Analytics,AI and data analytics solutions,Unknown,Technical founders,Weak - No manufacturing,Strong - India-based company,Moderate - AI capability,Strong - Technical founders,Strong - AI sector growth,Moderate - Startup growth activity,45,Reject,AI-driven analytics platform,"Website, F6S"
Cliniv Health Tech,cliniv.com,Hyderabad,Clinical Trial SaaS,Clinical trial digital transformation software,Unknown,Ramesh Meesala,Weak - Software/service company,Strong - Hyderabad startup,Moderate - Specialized clinical platform,Moderate - Technical management,Strong - Healthtech growth,Moderate - Active operations,40,Reject,Integrated decentralized clinical trial platform,"Website, F6S"
